Sheet,Tier,Issue type,Urgency,Status
CP,Critical Functionalities,Login Issues,1,FROM MAPPING v0.2
CP,Critical Functionalities,Issues with Accounts & Companies,1,FROM MAPPING v0.2
CP,Critical Functionalities,Credit Card payment issues,1,FROM MAPPING v0.2
CP,Critical Functionalities,Agreements: Renewals & Terminations,1,FROM MAPPING v0.2
CP,Critical Functionalities,Issues with adding Network Devices,1,FROM MAPPING v0.2
CP,Critical Functionalities,Issue with Bookings,2,CONFIRMED by service owner (blank in source v0.2)
CP,Critical Functionalities,Application Performance (unusable),1,FROM MAPPING v0.2
CP,Major Functionalities,Invoice issues,2,FROM MAPPING v0.2
CP,Major Functionalities,Direct Debit Payment issues,2,FROM MAPPING v0.2
CP,Major Functionalities,Email Issues,2,FROM MAPPING v0.2
CP,Major Functionalities,Call Answering Configuration Issues,2,FROM MAPPING v0.2
CP,Major Functionalities,Issues with Membership and Business Lounge,2,FROM MAPPING v0.2
CP,Major Functionalities,Products & Services,2,FROM MAPPING v0.2
CP,Major Functionalities,Balance mismatch,2,FROM MAPPING v0.2
CP,Major Functionalities,Issues with MyRegus Staff Mode,2,FROM MAPPING v0.2
CP,Major Functionalities,Return of Retainer Issues,2,FROM MAPPING v0.2
CP,Major Functionalities,Application Performance (intermmittent),2,FROM MAPPING v0.2
CP,Minor Functionalities,Customer Communications and Documents,3,FROM MAPPING v0.2
CP,Minor Functionalities,Events Space Issue,3,FROM MAPPING v0.2
CP,Minor Functionalities,Help & Inbox,3,FROM MAPPING v0.2
CP,Minor Functionalities,World Key Pin issues,3,FROM MAPPING v0.2
CP,Minor Functionalities,Language & Translations,3,FROM MAPPING v0.2
CP,Low,Consultation on functionality,4,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Login Issues,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Amending an agreement,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Visitor check-in/check-out,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Previous/upcoming invoices,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Adding / Editing a Service,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Unable to Save Recurring,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Parking,2,CONFIRMED by service owner (blank in source v0.2)
Teamhub,Critical Functionalities,Unable to Move Short stay Bookings,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Logging a ticket,1,FROM MAPPING v0.2
Teamhub,Critical Functionalities,Application Performance (unusable),1,FROM MAPPING v0.2
Teamhub,Major Functionalities,Incorrect or missing company details,2,FROM MAPPING v0.2
Teamhub,Major Functionalities,Unable to access other centre/s,2,FROM MAPPING v0.2
Teamhub,Major Functionalities,Application Performance (intermmitent),2,FROM MAPPING v0.2
Teamhub,Major Functionalities,Staff Worldkey Pin,2,FROM MAPPING v0.2
Teamhub,Major Functionalities,Unable to Close Tickets on Teamhub,2,FROM MAPPING v0.2
Teamhub,Minor Functionalities,Installing the app,3,FROM MAPPING v0.2
Teamhub,Minor Functionalities,Updating the app,3,FROM MAPPING v0.2
Teamhub,Minor Functionalities,Customer Documents (eFile),3,FROM MAPPING v0.2
Teamhub,Minor Functionalities,My Status or Time Off,3,FROM MAPPING v0.2
Teamhub,Low,Consultation on functionality,4,FROM MAPPING v0.2
Teamhub,Low,New access request,4,FROM MAPPING v0.2
Titan,Critical Functionalities,Login Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,E-Invoicing issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Payment issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Invoicing Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Booking Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Renewal Issues,1,FROM MAPPING v0.2
Titan,Critical Functionalities,Accounts and Company Issues,1,FROM MAPPING v0.2
