KB Number,Title,Audience,KB Category (ServiceNow),Covers master ticket,Mapping confidence,Search text,Notes
KB0029263,AHD Team Guide: Customer Portal Credit Card Payment Issues,Customer Support,Payments,,Unmapped,"AHD Team Guide: Customer Portal Credit Card Payment Issues Summary Supports AHD in handling unresolved customer credit card payment issues after Aurora. Purpose Ensures AHD follows the correct process for credit card payment issues in Customer Portal after Aurora and Help submission have been completed. Self-Help First (Customer Requirement) Confirm the customer has already: Used Aurora Chat Assist Submitted a case via the Help section How to Raise a Ticket (AHD Only) ServiceNow Path - this goes to GSC AR/CNP Team https://support.iwgplc.com/sp?id=sc_cat_item&sys_id=0532926b87c43190a310baaabbbb35af&sysparm_category=5914d8f087cf8d10ed48620c8bbb35d1 Required Details First 6 and last 4 digits of the card Invoice number Date of payment attempt Customer email & company name Error message or screenshot What You Can Request Failed card payments Payment decline errors Payment not reflected Incorrect payment allocation Payment-related error messages After You Submit GSC AR investigates and provides guidance IT is engaged by GSC AR if needed AHD monitors until resolution For escalation to GSC AR team, search GSC Escalation Matrix in IWG Academy via Elbie chat assist or via search field.",
KB0029467,Customer Portal / Myregus Account Login: Temporary Sign-In Issues During Login Provider Migration,Centre Support,Login,,Unmapped,"Customer Portal / Myregus Account Login: Temporary Sign-In Issues During Login Provider Migration What is happening? IWG is migrating account sign-in to a new login provider. This change is designed to make accessing your account more secure and reliable. During this transition, you may occasionally experience trouble signing in. Any disruption is expected to be minimal and temporary. Temporary limitation: The option to change your sign-in email address is currently disabled while the migration is underway. If you need to change your email address, submit a request through the IWG Email Change Portal . What should I do if I cannot sign in? If you cannot access your IWG account, report it through the IWG Login Support Portal so our team can restore your access as quickly as possible. Submit your report using the IWG Login Support Portal and include the following details: What to include Example A short description of the issue ""I cannot log in - the page just refreshes."" Any error message you received ""Invalid credentials"" or ""Account not found"" The email address on your IWG account yourname@company.com The date and time the issue occurred 5 August 2026, 10:30 AM (Manila time) Scree",
KB0028288,How to handle tickets related to Power BI Report that are associated with Dynamics F&O,L2,Dynamics F&O,,Unmapped,"How to handle tickets related to Power BI Report that are associated with Dynamics F&O Application/Service Dynamics F&O Description There are issues or requests related to Power BI Reports that may be associated with Dynamics F&O. They can be the following: Accessing and updating the Power BI report, that is configured in Dynamics F&O system. Granting access and assigning of security roles related to Power BI reporting, that is handled by IT L1 team. This provides steps on handling issues specific to Power BI reports as mentioned above. Instructions Users must be included in the Finance Power BI groups. These roles should be assigned to Dynamics F&O profile of users so they can also access the Power BI reports. PRO - PowerBI AR group 1 (C) PRO - PowerBI FA group 1 (C) PRO - PowerBI GL group 1 (C) Dynamics F&O > System administration module > Users (select a user and check User's roles section) Next step: If there are still issues in accessing the reports after granting the right access, users may reach out to Sudheer Pusuluri via email ( Sudheer.Pusuluri@iwgplc.com) and copy Michael Walker ( Michael.Walker@iwgplc.com ) If there are requests to update the report or issues related to",
KB0028930,Remove recurring service through TeamHub,Centre Support,Central Applications,,Unmapped,Remove recurring service through TeamHub,EMPTY BODY in source export
KB0029044,Dynamics F&O | How to Resolve INT-AR-003/Error code: 23-1-.,L2,Dynamics F&O,,Unmapped,Dynamics F&O | How to Resolve INT-AR-003/Error code: 23-1-.,
KB0020884,If the client is getting an error while adding the IWG/coffee card,L1,Customer Portal (MyRegus),,Unmapped,"If the client is getting an error while adding the IWG/coffee card If the client is getting an error while adding the IWG/coffee card, then we need to follow these steps - 1) Go to CSU Dashboard and enter the card number (in Card ID) which user has mentioned. 2) Click on Apply to search for the card, you will get the status of the card. 3) Expected cases issue can be occur when trying to add card - If Card was already marked as lost/inactive then it cannot be reassigned If Card is Added in one account, then It cannot be added for another account For example : As per the screenshot the card is added to one person This card cannot be added to other client with different email id If the card doesn’t appear in CSU dashboard while searching then the card is not loaded in our database Please advise them to add new card in these cases",
KB0037201,How do I request reinstatement of a customer account,Customer Support,Accounts & Companies,,Unmapped,How do I request reinstatement of a customer account Summary : This article guides users on how to request reactivation or reinstatement of a customer account. This is only applicable should the automated reinstatement process fail. Purpose : This article provides the correct path to request reactivation or reinstatement of a customer via TeamHub. Instructions : Centre team to check first if customer is showing as blocked or suspended in Customer Portal or Teamhub. Go to Teamhub > Raise Support request > Customer Operations > Collections Request > Customer > Company Name > Type of Request > Reinstatements > Description. Attach proof of payment. Follow steps under https://iwg.learn.link/content/5f9048a6ad634100100c9e72 on how to escalate the request to GSC Support team,
KB0020053,Manual payment via CC not received the transaction email,L1,Titan,,Unmapped,Manual payment via CC not received the transaction email Application / Service Titan Details Payment confirmation emails are sent only if the client used registered card(auto payment method) for that payment. Single used card are deleted once the payment is done and no confirmation email are sent.,
KB0029046,10. Dynamics F&O | How to Resolve INT-AR-003/Error code: 5-0-,L2,Dynamics F&O,,Unmapped,10. Dynamics F&O | How to Resolve INT-AR-003/Error code: 5-0-,
KB0030103,How to Use the TeamHub App?,End User,Process Enquiry,,Unmapped,"How to Use the TeamHub App? Description This article provides guidance on how to log in and use the TeamHub app, including key features and tasks that can be performed by centre teams. How to Log In Connect to Centre Wi-Fi Ensure your device is connected to your centre's Wi-Fi network. Open the TeamHub App Tap the TeamHub app icon on your device. Sign In Enter your employee email (e.g., john.smith@regus.com ) and password. Authenticate (if prompted) Complete authentication the same way you log in to Office 365 (e.g., via MFA). Main Features and Functions 1. Notifications (Home Screen) Notifications are grouped into: Company Notifications Centre Notifications Personal Notifications New updates and alerts will appear here as the feature evolves. 2. Menu Tap the ☰ (menu icon) in the upper left-hand corner to access: Favorites - Add items by swiping right on any home screen item. Notifications - View all notifications. Company - Access actions related to company operations. Centre - Access actions related to your centre. Personal - Access actions related to your individual profile. Settings - View app version or change language (currently available in English - US and English - UK ). 3",
