Master ID,Master Name,Category,MST Tag,Symptom keywords,Context required,Known JIRA,Defect fixed?,KBA,Status,Notes
M001,[Accounts and Companies] Contact already granted admin rights but still getting No Access error in CP,Accounts and Companies,MST-71213,admin rights; granted admin rights; no access error; admin rights but no access; unable to see the account online; cannot see the account online; account not visible when login,,,,"KB0028502, KB0020902",Active,
M002,[Accounts and Companies] Contact removal,Accounts and Companies,MST-75256,contact removal; remove contact; delete contact; deactivate contact,,,,,Active,
M003,[Accounts and Companies] Customer can not join company,Accounts and Companies,MST - 005-25,join company; cannot join company; can not join company; unable to join company,,,,,Active,
M004,[Accounts and Companies] Primary contact is shown as not activated,Accounts and Companies,MST-71363,primary contact not activated; primary contact is shown as not activated; primary contact shows as not activated; primary contact pending activation,,,,,Active,
M005,[Accounts and Companies] Unable to delete a non-default credit card from the wallet,Accounts and Companies,MST-75027,delete credit card; unable to delete card; non-default credit card; remove card from wallet; delete the card from the wallet; remove the card from the wallet; cannot delete the card; delete a card from wallet; non-default card,,,,,Active,
M006,[Accounts and Companies] Unable to find linked account to switch,Accounts and Companies,MST-71224,switch account; unable to find linked account; account switch; link the accounts; linking to the company; unable to find the account reference; office account does not exist; unlinked account; redirected to a separate; find linked account; linked account to switch; switch linked account; cannot switch to the linked account; linked account not showing,,,,,Active,
M007,[Accounts and Companies] You do not have access to view this page,Accounts and Companies,MST-71553,you do not have access to view this page; do not have access to view,,,,,Active,
M008,[Bookings (Products) - Short Stay] Customer has been charged while booking,Bookings (Products) - Short Stay,MST-71220,charged while booking; charged when booking; charged during booking; charged for booking; charged for office bookings; being charged for office,,,,,Active,
M009,[Bookings (Products) - Short Stay] Agreement automatically renewed without client's action,Bookings (Products) - Short Stay,MST-71223,automatically renewed; auto renewed; auto-renewed; renewed without client; renewed without action,,,,KB0027721,Active,
M010,[Bookings (Products) - Short Stay] CMR booked for 1 hours instead of 2 hours,Bookings (Products) - Short Stay,MST-74516,1 hours instead of 2; 1 hour instead of 2; cmr booked for 1,,,,,Active,
M011,[Bookings (Products) - Short Stay] Customer can book a CMR for more than 2 hours (multiple times a day),Bookings (Products) - Short Stay,MST-71214,more than 2 hours; multiple times a day; book cmr more than,,,,KB0035554,Active,
M012,[Bookings (Products) - Short Stay] Unable to check in/out on TeamHub,Bookings (Products) - Short Stay,MST - 008-25,check in/out; unable to check in; unable to check out; check in on teamhub,,,,,Active,
M013,[Bookings (Products)] Unable to send agreement from Preview OSA screen,Bookings (Products),MST-76060,preview osa; osa screen; unable to send agreement; send agreement from preview,,,,,Active,
M014,[Invoicing] Invoices not found on My Regus,Invoicing,MST-71217,invoices not found; invoice not found; invoices missing; invoices not showing; no invoices,,,,,Active,
M015,[Login] Account is disabled or locked out,Login,MST - 003-25,account is disabled; locked out; account locked,,,,,Active,
M016,[Login] Account needs activation,Login,MST - 002-25,account needs activation; needs activation; account marked as inactive; marked as inactive; account activation/access; activation/access is not working; account activation is not working; account is inactive,,,,,Active,
M017,[Login] Account showing blocked in My Regus,Login,MST-71212,account showing blocked; account blocked; blocked in my regus,,,,KB0028442,Active,
M018,[Login] Change email address,Login,MST-70449,change email address; update email address; email address change,,,,,Active,
M019,[Login] Client not receiving verification code for adding a team member on his email,Login,MST-70178,adding a team member; team member verification code; verification code for adding,,,,,Active,
M020,[Login] Client not receiving verification code OTP via Email on Myregus,Login,MST-73683,otp via email; verification code otp; not receiving otp; verification code via email,,,,KB0028043,Active,
M021,[Login] Client not receiving verification code via mobile phone,Login,MST-70823,verification code via mobile; verification code via phone; code via sms; not receiving code via mobile,,,,KB0028043,Active,
M022,"[Login] Client unable to log in (account not verified, suspended, locked)",Login,MST-71215,account not verified; account suspended,,,,,Active,
